gene_id,tot_exon_len,HOG,scaf_name,scaf_len,M_F_mode,chr_soft,chr_hard,Tps_SF_HD_Md_Re1,Tps_SF_HD_Md_Re2,Tps_SF_HD_Md_Re3,Tps_SF_LG_Md_Re1,Tps_SF_LG_Md_Re2,Tps_SF_LG_Md_Re3,Tps_SF_RT_Md_Re1,Tps_SF_RT_Md_Re2,Tps_SF_RT_Md_Re3,Tps_SF_WB_Md_Re1,Tps_SF_WB_Md_Re2,Tps_SF_WB_Md_Re3,Tps_SM_HD_Md_Re1,Tps_SM_HD_Md_Re2,Tps_SM_HD_Md_Re3,Tps_SM_LG_Md_Re1,Tps_SM_LG_Md_Re2,Tps_SM_LG_Md_Re3,Tps_SM_RT_Md_Re1,Tps_SM_RT_Md_Re2,Tps_SM_RT_Md_Re3,Tps_SM_WB_Md_Re1,Tps_SM_WB_Md_Re2,Tps_SM_WB_Md_Re3,lg_pos,gene_rel_midpoint,multi_lg,all_lg
TPS_00001,5126,NA,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,3,20,9,5,31,9,11,130,20,127,14,79,12,18,13,6,24,9,2414,3720,3692,286,211,390,lg6,9102513,NO,lg6
TPS_00002,9234,HOG_335,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,1,21,18,2,7,18,3,67,34,5,2,8,16,22,1,14,17,2,5916,9087,7636,262,550,677,lg6,9159563,NO,lg6
TPS_00003,9005,HOG_17101,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,1285,905,977,940,840,1038,2095,2065,2185,1108,894,682,1461,1424,1525,1316,1268,1414,2517,3238,3715,1886,923,556,lg6,9221486,NO,lg6
TPS_00004,1704,HOG_16887,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,35,44,47,31,33,57,263,218,245,60,80,67,71,57,59,61,46,42,688,934,1105,71,123,90,lg6,9278353,NO,lg6
TPS_00005,885,HOG_22715,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,195,180,250,156,198,269,999,749,910,306,366,345,312,293,259,375,342,248,779,970,1079,242,229,315,lg6,9293050,NO,lg6
TPS_00006,2253,HOG_10469,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,88,85,99,68,88,143,560,389,493,236,230,254,114,111,98,102,106,110,1292,1737,1875,192,210,146,lg6,9323512,NO,lg6
TPS_00007,606,NA,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,178,128,233,184,230,268,555,394,426,472,647,525,444,270,271,347,231,221,512,409,377,206,524,412,lg6,9349694,NO,lg6
TPS_00008,339,HOG_7981,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,81,59,81,52,88,88,115,125,120,59,47,45,93,127,75,95,96,80,514,636,551,95,77,72,lg6,9363573,NO,lg6
TPS_00009,1680,HOG_18248,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,123,133,158,144,122,201,282,289,270,144,106,100,201,272,145,189,161,120,4942,5516,6535,224,282,212,lg6,9371312,NO,lg6
TPS_00010,498,HOG_3232,1_Tps_b3v08_scaf000022,451974,0.0296712653317803,A,A,2999,2697,2735,2252,3333,3874,13802,10810,11858,6546,12935,7894,2710,3356,3038,2821,3573,4398,3120,3405,3952,2183,3250,5118,lg6,9387822,NO,lg6
